"variance(mean), created by Plot Digitizer, 2.6.8"
"Date: 1/24/19, 9:16:41 AM"


19
mean,variance
3.65890e+06,173112096,
3.89735e+06,226303376,
4.15253e+06,240137984,
4.49417e+06,265866272,
4.87084e+06,294681056,
5178152,336208512,
5.62368e+06,397557024,
5.97870e+06,442092736,
6.36470e+06,520980288,
7.29100e+06,700492608,
7.79577e+06,770337984,
8.14676e+06,890689024,
8766171,1039177280,
9352739,1168566528,
9914496,1331745664,
10421210,1433735808,
10806488,1526343936,
11326049,1682169216,
12144581,1872753792,
