,N,varN,errorbar,Sigma_um_X,Sigma_um_Y,N:IWCMBE
0,19982951.651098046,108177039.54662521,9176926.6509941,1158.9020304027656,96.21870373199799,30.053830433784317
1,19149222.34035351,97960157.93570274,8383284.89753275,1156.7552313910664,94.27162989984703,29.904145035544357
2,18253124.728063963,88661742.76642919,7667892.759271613,1158.4280787182274,91.55087247294082,29.88487312916647
3,17446823.113820538,85334906.09513724,7413913.335015375,1160.225573962222,88.99942513113167,29.866789118532093
4,16595186.234147243,79562824.10191707,6976228.376680764,1161.8781531933528,86.82342210348483,29.905993096404337
5,15771390.571339604,71182700.45811383,6348887.809065773,1162.7279628553197,84.68858536210165,29.90346927861043
6,15152702.366264837,68256124.93863966,6132536.855038269,1160.0514489083243,82.99562995254526,29.842382238049282
7,14512989.415370543,63701751.842681855,5799234.387280791,1158.769456477595,81.53249791837783,29.783902489456693
8,13727370.60393806,57627734.605309084,5362319.081898986,1155.5684052209683,79.48938706919215,29.704307642714625
9,13152381.901210433,53771951.40990215,5090395.415151835,1151.020772846445,77.90806104504051,29.585456962846212
10,12529031.669581117,49634734.98769859,4804284.358502444,1146.733457193137,76.76583782616063,29.453583293341694
11,12034366.66864097,47876795.171272196,4684743.108239878,1141.6686562632667,75.58562704890568,29.267189522464257
12,11527313.696681472,44956019.504036136,4489162.875592471,1136.5281935313744,74.6093281636125,29.172529460539387
13,11033690.807767488,40914233.666436024,4225627.688745195,1131.5724969918267,73.78830106451194,29.032798724668933
14,10435614.167376872,40091276.06136519,4173103.6812565653,1123.961745480337,72.69150578346057,29.01072098726247
15,9677448.494633641,34891029.57894929,3851563.530073054,1116.0067814157637,71.45019603955042,28.76769730676377
16,9020249.636675337,30232671.11633684,3581488.568697781,1106.5527962461224,70.49224192549407,28.455755775151616
17,8473679.85809871,29636971.05479567,3548388.2784360736,1098.843044322023,69.85058016352524,28.295305269620442
18,8180762.589140413,28288178.59236614,3474774.5044721793,1093.7649839484493,69.42851289603692,28.139613394656248
19,7831848.08177622,26249525.92761556,3367243.0719351065,1087.1896889746456,68.96691834008017,27.936232
20,7565539.270860968,25072560.99232583,3307357.5177502194,1082.9133679529032,68.80577423842202,27.830620019980806
21,7281579.348273392,24035839.706293568,3256027.7342202766,1076.994854785955,68.38761719911021,27.680172747430912
22,7033812.804073672,23272592.96093119,3219127.1806658013,1072.0815847735773,68.01776361418963,27.527364190491138
24,23843183.929452512,130553269.94721492,10934565.769536134,1087.6774808571422,112.40633970870401,36.365181343314944
25,22422151.21846284,126434438.13599467,10609449.058104344,1111.7298545814558,108.37818828764617,33.329851153096705
26,21515442.178344373,118437102.43837759,9980063.014631609,1161.19197925027,101.77611066246814,30.17900608924621
27,20530105.582314335,108012420.40726706,9164086.472971283,1160.5344985241907,99.22864120199617,30.114610023771647
28,19674976.677511703,106005701.45275603,9007692.802803231,1160.8029723428199,95.57936940627089,30.031835328780748
29,18800172.48054842,92226143.22661676,7941228.883732424,1160.6241933601777,93.1046326587222,29.944229082222382
30,18006856.21990185,87931157.01436478,7612019.617090507,1161.503204768662,90.55490180661747,29.914853230882354
31,17121734.367575362,79522538.14414892,6973188.13999356,1162.8416368178705,88.15762489986851,29.967128294592513
32,15993193.532158306,77686988.47957923,6834898.05822409,1164.8662941809544,85.66430090995907,29.927939923190785
33,23545221.98343006,125223873.18371126,10514012.71178047,1010.6978052516818,114.83089527320415,37.755379
34,22539807.76943762,126604643.08542499,10622871.818603024,1144.204134701929,105.51534303729171,31.08164058631066
35,21623173.222882457,122055927.14692803,10264535.582681525,1161.592158666308,101.87778369385936,30.17782983851882
36,20710049.69829044,111413055.59523155,9429644.88602932,1158.6308390339557,99.70475267357403,30.11676313111091
37,19671019.22995401,94529398.03903013,8118467.227915551,1158.5004722550552,96.48237848747898,30.005597009255425
38,18895901.59686851,92779490.55764776,7983767.460474555,1158.9548864634387,93.2117170491125,29.967027839535614
