,N,varN,errorbar
0,10069403.382057596,23183712.526910927,3214880.5080351075
1,8677578.642280398,21726165.930430964,3146792.2021722463
2,7489017.988898119,13756409.45081753,2833904.928584163
3,6715648.40375234,12185148.005400624,2785909.257609196
4,6120243.871574642,9795266.185683785,2722807.511505307
5,5601307.362379289,12335129.652596438,2790273.471516118
9,21539682.138286285,48649137.55792227,4737102.838553549
10,17476671.210486587,53261016.64912658,5054725.233079219
11,13895237.48281928,30627058.766999193,3603594.1063105734
12,7656578.204604972,16012911.009911524,2911276.309607843
13,7157285.439256973,14821892.940587724,2869235.334099511
14,6774156.955742119,11525108.710003827,2767260.7275998546
15,20911821.176314555,72090195.51261236,6416287.984899456
16,19126972.298753228,51391862.36450591,4925020.332517731
17,17928139.785946388,40877156.03962815,4223252.490365437
18,17192852.407235887,50472130.082090706,4861673.391160289
19,16018850.791594135,43926976.11763335,4421237.0863091415
20,15059810.223536806,33171167.403536122,3749658.4780735252
21,14245306.726295795,27630169.245252684,3439560.49309738
22,13739559.108202405,32494176.198750533,3710224.85003117
23,12902146.786302902,26509973.816036385,3380718.062209081
24,12008075.050647546,20256487.976352964,3081234.8962371917
25,11783813.01753794,35026492.953167655,3859691.131493924
26,11021906.664679965,23867761.36935054,3247835.770707809
27,10486134.889978604,23613870.536098912,3235531.622647248
28,9988054.52970271,18103269.817670524,2991227.419925009
29,9541226.948588595,18992207.646535788,3027482.466437018
30,9099373.484870195,18839712.960189667,3021170.9470060845
31,8784511.141340101,20781593.249124557,3104288.3768206416
32,8509696.15885712,20057513.918598704,3072609.3741799183
33,7905128.707428541,15614836.310326386,2896932.313706951
34,19414387.60971922,65754763.74477908,5948935.383355721
35,18062652.29540686,45299161.31742325,4511931.144275218
36,17254254.244860806,48873168.35826233,4752338.12370081
37,16388381.952080105,50883482.30054951,4889965.385554897
38,15324800.789877294,39107957.14496812,4110894.4403220573
39,14148751.92616331,32416455.87723129,3705723.2877215524
40,13159178.01850606,21782759.369561452,3149380.101400502
41,13055122.861310264,36677400.178985715,3959866.908621075
42,12457871.904732043,31469307.785347726,3651298.157047812
43,11614160.097049383,19814559.9495675,3062160.3898390816
44,11209713.773707647,25142548.177527603,3310871.4280804894
45,10702331.070989868,19106531.479957733,3032238.821365622
46,10499839.74865602,26750732.126720306,3393244.4237364223
47,9727770.428938717,22057728.753099855,3162019.126950481
48,9525147.14645572,22525629.530880157,3183772.1832416398
49,9060620.283126405,21848683.20590356,3152400.458491726
50,8641624.081231872,18261747.327783693,2997595.2212864948
51,17301654.737509202,53748457.4052805,5088753.253059392
52,15448257.820518536,44333589.48856904,4448012.796223785
53,14450070.544874202,30542327.989163578,3598832.2529593026
54,13907786.587696843,34318915.58317641,3817397.5354994196
55,12831414.789443735,25002177.944193516,3303829.8569264524
56,11933760.793698441,15172050.73396,2881320.90127702
57,11392116.283516303,20684629.846429605,3100000.03028472
58,10948146.708203109,21666903.868812345,3144087.214481617
59,10486843.539725563,28847546.72238719,3505074.2495710487
60,9566350.939761037,24627456.855981406,3285152.7167482595
61,9012209.905223489,26704176.804866202,3390816.9939341596
62,8537004.785917746,19500845.481702767,3048804.678359266
63,8049452.742322848,20707974.251687966,3101031.1786787673
64,7700919.528551561,19420480.703746386,3045408.3061866667
